sector,tic_id
60,670885203
60,670885808
60,670886280
60,670886526
60,670886612
60,670886977
60,670887474
60,670887709
60,670887849
60,670887882
60,670888751
60,670888952
60,670889216
60,670889407
60,670890232
60,670890417
60,670891471
60,670891566
60,670891926
60,670892397
60,670892831
60,670893209
60,670893487
60,670894346
60,670894961
60,670895042
60,670895733
60,670896135
60,670896914
60,670898270
60,670898855
60,670900254
60,670901122
60,670901567
60,670902128
60,670902557
60,670903068
60,670903071
60,670903131
60,670903308
60,670903866
60,670904147
60,670904264
60,670904644
60,670904794
60,670904998
60,670905058
60,670905523
60,670905950
60,670906312
60,670907148
60,670908369
60,670909582
60,670918377
60,670921311
60,670921654
60,670925730
60,670926593
60,670930748
60,670931480
60,670931530
60,670932395
60,670932449
60,670932710
60,670933266
60,670933989
60,670935465
60,670935601
60,670935632
60,670936401
60,670937389
60,670937907
60,670938366
60,670939137
60,670939144
60,670939313
60,670939669
60,670942451
60,670942583
60,670942921
60,670943099
60,670943859
60,670944423
60,670944959
60,670945645
60,670945931
60,670946066
60,670946584
60,670947870
60,670949013
60,670949658
60,670949694
60,670950055
60,670950362
60,670951210
60,670951704
60,670953124
60,670953383
60,670953431
60,670955099
60,670955640
60,670955900
60,670956135
60,670956286
60,670956760
60,670956898
60,670957085
60,670957418
60,670958571
60,670958929
60,670960051
60,670960149
60,670960428
60,670961150
60,670961297
60,670961652
60,670961701
60,670962793
60,670963263
60,670963814
60,670965508
60,670965641
60,670966558
60,670966960
60,670966974
60,670967479
60,670968421
60,670968850
60,670968877
60,670969366
60,670969385
60,670969649
60,670970045
60,670970314
60,670970500
60,670970945
60,670971763
60,670971765
60,670971973
60,670973252
60,670973697
60,670974041
60,670975410
60,670975952
60,670976330
60,670976537
60,670977004
60,670977299
60,670977435
60,670978139
60,670979026
60,670980605
60,670981090
60,670981133
60,670981155
60,670982379
60,670982405
60,670983244
60,670983623
60,670983864
60,670984388
60,670984483
60,670984718
60,670985757
60,670986243
60,670986354
60,670986460
60,670987283
60,670988270
60,670991147
60,670991756
60,670991968
60,670992158
60,670992173
60,670992502
60,670992728
60,670993480
60,670993727
60,670994564
60,670994894
