config,bkspace_d,sigma_clip,duration_min,depth,injection_cases,median_retention,p16_retention,p84_retention,min_retention,max_retention,median_cadences
bk0.8_sig3,0.8,3.0,180.0,0.03,33,0.9806539944915501,0.9632906621472878,0.9931712107047694,0.9094527372103034,1.1043504899778382,540.0
bk0.8_sig3,0.8,3.0,180.0,0.1,33,0.9831124191634549,0.9507642574699439,0.993177846337029,0.8662183602087914,1.1194733513738857,540.0
bk0.8_sig3,0.8,3.0,180.0,0.3,33,0.9620903753231774,0.9292729279261284,0.9905864702694676,0.8840906231628552,1.1301213572489839,540.0
bk0.8_sig3,0.8,3.0,180.0,0.5,33,0.9600482715484899,0.9284862519252082,0.9792381811336347,0.9118015715227381,1.1666412252047527,540.0
bk0.8_sig5,0.8,5.0,5.0,0.03,33,0.999037959402771,0.9971857640685706,0.9992706522170719,0.9226148734706526,1.1352240909557443,15.0
bk0.8_sig5,0.8,5.0,5.0,0.1,33,0.9990384321669421,0.997846069985344,0.9991471834482947,0.9224130123506225,1.135491032788244,15.0
bk0.8_sig5,0.8,5.0,5.0,0.3,33,0.9988541833034977,0.99789477307249,0.9994283214521688,0.9205071303052226,1.1360330746478728,15.0
bk0.8_sig5,0.8,5.0,5.0,0.5,33,0.9986352670145746,0.9975088746999116,0.9994740338691865,0.9204049062691217,1.13581011380651,15.0
bk0.8_sig5,0.8,5.0,10.0,0.03,33,0.9996119806936821,0.9965662388666499,0.9997923003789286,0.9196560746177881,1.1340357043818825,30.0
bk0.8_sig5,0.8,5.0,10.0,0.1,33,0.9992283045484807,0.9976503148093,0.9996178322744491,0.9203997405279907,1.1337400467389318,30.0
bk0.8_sig5,0.8,5.0,10.0,0.3,33,0.9982125932423479,0.996552306036302,0.9996578576966786,0.9205465958492131,1.135239103491591,30.0
bk0.8_sig5,0.8,5.0,10.0,0.5,33,0.9974479230978961,0.9949955045652834,0.999338843005774,0.9202702914330116,1.136962805822772,30.0
bk0.8_sig5,0.8,5.0,30.0,0.03,33,0.9984244237338477,0.9943469002437231,0.999017140358029,0.9193166443307033,1.1301863662331362,90.0
bk0.8_sig5,0.8,5.0,30.0,0.1,33,0.9977619944113669,0.994880305196025,0.9989443768937168,0.9197365402334073,1.1310562210009245,90.0
bk0.8_sig5,0.8,5.0,30.0,0.3,33,0.9948495224476667,0.9910666014405111,0.9986534335348214,0.919870430645113,1.133568427981832,90.0
bk0.8_sig5,0.8,5.0,30.0,0.5,33,0.993191559631898,0.9860448064300151,0.996940961388419,0.9200749088281488,1.1378557188872467,90.0
bk0.8_sig5,0.8,5.0,60.0,0.03,33,0.9969237975563502,0.9882108634726714,0.9981669698986216,0.9163529478616299,1.1240938156615126,180.0
bk0.8_sig5,0.8,5.0,60.0,0.1,33,0.9954581760542813,0.9867224335436219,0.9985779553340837,0.9191540378324792,1.1261855335398296,180.0
bk0.8_sig5,0.8,5.0,60.0,0.3,33,0.988370918948792,0.9806404006065705,0.997099145049936,0.9198327423258803,1.129436220875242,180.0
bk0.8_sig5,0.8,5.0,60.0,0.5,33,0.9851934713655107,0.9757944690195595,0.9922769647605092,0.9177092168790939,1.1328132537231987,180.0
bk0.8_sig5,0.8,5.0,120.0,0.03,33,0.9937438986838373,0.9806024962633447,0.9960928074199787,0.9154132030882556,1.111692488525995,360.0
bk0.8_sig5,0.8,5.0,120.0,0.1,33,0.9900746675631289,0.9796388995898883,0.9952555403075825,0.9177108414220547,1.1160666335337566,360.0
bk0.8_sig5,0.8,5.0,120.0,0.3,33,0.979161066281995,0.9699816962560668,0.9926982794503176,0.9188528276344132,1.123535586903546,360.0
bk0.8_sig5,0.8,5.0,120.0,0.5,33,0.9719819236235516,0.9587407369687715,0.9831817773418887,0.889694168539441,1.1313039987006732,360.0
bk0.8_sig5,0.8,5.0,180.0,0.03,33,0.9883419008010264,0.9767936941052553,0.9930695033767039,0.9095695950529374,1.0978415083123214,540.0
bk0.8_sig5,0.8,5.0,180.0,0.1,33,0.9841269245503814,0.9719535714268404,0.9923334784260658,0.9122940105526306,1.1039583963324873,540.0
bk0.8_sig5,0.8,5.0,180.0,0.3,33,0.9693148406698956,0.9569721732748769,0.9888721519512689,0.8720727788837006,1.1145715895883748,540.0
bk0.8_sig5,0.8,5.0,180.0,0.5,33,0.9572393664686502,0.9470209461384524,0.9732311342353294,0.8929410213293831,1.125261522195035,540.0
bk1.2_sig3,1.2,3.0,5.0,0.03,33,0.9992173539523752,0.9985096799266706,0.999486196173977,0.9261228892031275,1.1355972650026802,15.0
bk1.2_sig3,1.2,3.0,5.0,0.1,33,0.9991984546734711,0.998013416747727,0.9995564078855809,0.9228085840164785,1.1347424564302937,15.0
bk1.2_sig3,1.2,3.0,5.0,0.3,33,0.9992963729992285,0.9980201256076509,1.0001181499327485,0.9204708043345972,1.13546811275838,15.0
bk1.2_sig3,1.2,3.0,5.0,0.5,33,0.9991818728041904,0.9980874938846478,1.000172355183709,0.920577263451461,1.1367264798174073,15.0
